z,A,mu,sigma
0.0,0.0012130419586172088,-0.22058540078214064,0.6604002861089212
0.05102040816326531,0.0013398190047189344,-0.23671262822311753,0.6599418070001164
0.10204081632653061,0.0014679379088857957,-0.25125985112733773,0.6593876605798756
0.15306122448979592,0.001597097211713307,-0.2645027831992203,0.6587777710915559
0.20408163265306123,0.0017270230544158861,-0.2766519337019529,0.6581378524758168
0.25510204081632654,0.0018574699998298691,-0.28787098126213867,0.657484702218495
0.30612244897959184,0.0019882207752644453,-0.29828926654847054,0.656829465475674
0.35714285714285715,0.0021190853376939216,-0.3080103893510851,0.6561795399798549
0.40816326530612246,0.0022498925278818267,-0.3171213585313451,0.655541305462697
0.45918367346938777,0.002380503687265469,-0.3256911066533691,0.6549168119102329
0.5102040816326531,0.0025108073174905385,-0.33377566145416815,0.6543073753655444
0.5612244897959184,0.0026406929873502355,-0.34142868213237343,0.6537161266182955
0.6122448979591837,0.0027700977978735468,-0.348686950533432,0.6531412230409586
0.6632653061224489,0.0028989492624978855,-0.3555899525252355,0.6525844611172323
0.7142857142857143,0.00302721458402309,-0.3621653346855671,0.652044146059738
0.7653061224489797,0.003154850789355309,-0.36844342085581294,0.6515210849208123
0.8163265306122449,0.003281850654063462,-0.3744448261566441,0.651013657402726
0.8673469387755102,0.0034081987547960957,-0.3801924025272403,0.6505216303059778
0.9183673469387755,0.0035338998276630085,-0.38570382782381957,0.6500442212071997
0.9693877551020409,0.003658963948560384,-0.39099539306418923,0.6495803941180046
1.0204081632653061,0.0037834032936077187,-0.3960832340485403,0.6491297182766057
1.0714285714285714,0.003907242519392164,-0.4009798946306832,0.6486912409567406
1.1224489795918369,0.004030506634714372,-0.4056978904072092,0.6482642237612012
1.1734693877551021,0.0041532252694917995,-0.4102482973226129,0.6478479335355827
1.2244897959183674,0.00427543172137107,-0.4146413259504029,0.6474416076364701
1.2755102040816326,0.004397158976936868,-0.41888654526652436,0.6470446497624326
1.3265306122448979,0.0045184434956692205,-0.42299283831314294,0.6466564453614152
1.3775510204081634,0.0046393288465406985,-0.42696689734876137,0.6462763203300885
1.4285714285714286,0.004759847867818885,-0.4308171327343101,0.645903679338154
1.4795918367346939,0.00488003866011712,-0.4345505952323595,0.645537988761501
1.5306122448979593,0.004999938820044113,-0.438173718611812,0.6451788752053033
1.5816326530612246,0.00511959341917511,-0.4416913633126962,0.6448257999613123
1.6326530612244898,0.005239039912812111,-0.44510917051846743,0.6444782792246841
1.683673469387755,0.0053583094933172745,-0.448433212784296,0.644135822037801
1.7346938775510203,0.005477437826328659,-0.45166836718590814,0.6437981218228205
1.7857142857142858,0.005596459332915561,-0.45481927535489897,0.6434649047550454
1.836734693877551,0.005715413161135141,-0.45788972029257063,0.6431358711798834
1.8877551020408163,0.005834339984834881,-0.4608821152923872,0.6428106381629387
1.9387755102040818,0.005953258773000675,-0.46380216251912443,0.6424887912929175
1.989795918367347,0.006072199145934397,-0.46665359411958907,0.6421701041590558
2.0408163265306123,0.006191189161011776,-0.46943968138272174,0.6418543873211726
2.0918367346938775,0.00631025554225082,-0.47216369476067366,0.6415413581665245
2.142857142857143,0.006429422678334151,-0.474828574395679,0.6412309003038017
2.193877551020408,0.006548732960233904,-0.4774347764762648,0.6409230445181853
2.2448979591836737,0.0066681976210995805,-0.47998672158315087,0.6406172919220409
2.295918367346939,0.006787831847107135,-0.4824874561760674,0.6403134275032669
2.3469387755102042,0.006907655351298772,-0.48493950468166336,0.6400113304370191
2.3979591836734695,0.007027686239754665,-0.4873451799129544,0.6397108399563701
2.4489795918367347,0.007147939641166034,-0.48970642114122137,0.6394118553542143
2.5,0.00726843184529218,-0.4920255362691631,0.6391142260814692
